Gene,Name,Evidence
26040,SETBP1,E1
29072,SETD2,E1
55209,SETD5,E1
22941,SHANK2,E1
85358,SHANK3,E1
25942,SIN3A,E1
6497,SKI,E1
6529,SLC6A1,E1
10479,SLC9A6,E1
6601,SMARCC2,E1
6654,SON,E1
6660,SOX5,E1
6683,SPAST,E1
10847,SRCAP,E1
6812,STXBP1,E1
8831,SYNGAP1,E1
6734,SRPRA,E1
26115,TANC2,E1
57551,TAOK1,E1
93627,TBCK,E1
79718,TBL1XR1,E1
10716,TBR1,E1
6942,TCF20,E1
6925,TCF4,E1
6934,TCF7L2,E1
11011,TLK2,E1
84231,TRAF7,E1
7204,TRIO,E1
9320,TRIP12,E1
7010,TEK,E1
9777,TM9SF4,E1
373,TRIM23,E1
7248,TSC1,E1
7249,TSC2,E1
57616,TSHZ3,E1
7337,UBE3A,E1
65109,UPF3B,E1
157680,VPS13B,E1
51322,WAC,E1
23001,WDFY3,E1
7716,VEZF1,E1
26137,ZBTB20,E1
23036,ZNF292,E1
58499,ZNF462,E1
197131,UBR1,E1
23613,ZMYND8,E1
43,ACHE,E2
100,ADA,E2
109,ADCY3,E2
116986,AGAP2,E2
26523,AGO1,E2
192670,AGO4,E2
10142,AKAP9,E2
270,AMPD1,E2
275,AMT,E2
301,ANXA1,E2
322,APBB1,E2
51107,APH1A,E2
8853,ASAP2,E2
259266,ASPM,E2
23245,ASTN2,E2
57194,ATP10A,E2
491,ATP2B2,E2
552,AVPR1A,E2
9044,BTAF1,E2
776,CACNA1D,E2
8912,CACNA1H,E2
783,CACNB2,E2
4076,CAPRIN1,E2
54897,CASZ1,E2
54862,CC2D1A,E2
900,CCNG1,E2
10575,CCT4,E2
9578,CDC42BPB,E2
1012,CDH13,E2
9662,CEP135,E2
95681,CEP41,E2
84952,CGNL1,E2
5119,CHMP1A,E2
89832,CHRNA7,E2
10518,CIB2,E2
23332,CLASP1,E2
22866,CNKSR2,E2
1268,CNR1,E2
152330,CNTN4,E2
53942,CNTN5,E2
27255,CNTN6,E2
26047,CNTNAP2,E2
79937,CNTNAP3,E2
85445,CNTNAP4,E2
7812,CSDE1,E2
80315,CPEB4,E2
1501,CTNND2,E2
83992,CTTNBP2,E2
9820,CUL7,E2
1523,CUX1,E2
23191,CYFIP1,E2
27071,DAPP1,E2
8562,DENR,E2
22982,DIP2C,E2
27185,DISC1,E2
1740,DLG2,E2
9229,DLGAP1,E2
1747,DLX3,E2
81704,DOCK8,E2
57628,DPP10,E2
23167,EFR3A,E2
26610,ELP4,E2
56946,EMSY,E2
57634,EP400,E2
2109,ETFB,E2
55914,ERBIN,E2
339145,FAM92B,E2
2200,FBN1,E2
2567,GABRG3,E2
26290,GALNT8,E2
79893,GGNBP2,E2
2239,GPC4,E2
10243,GPHN,E2
2890,GRIA1,E2
2894,GRID1,E2
2898,GRIK2,E2
2901,GRIK5,E2
2902,GRIN1,E2
2903,GRIN2A,E2
23426,GRIP1,E2
57520,HECW2,E2
59269,HIVEP3,E2
3382,ICA1,E2
3608,ILF2,E2
26512,INTS6,E2
3690,ITGB3,E2
3720,JARID2,E2
8850,KAT2B,E2
7994,KAT6A,E2
3766,KCNJ10,E2
3785,KCNQ2,E2
3790,KCNS3,E2
23081,KDM4C,E2
8242,KDM5C,E2
7403,KDM6A,E2
57691,KIAA1586,E2
9928,KIF14,E2
84623,KIRREL3,E2
3150,HMGN1,E2
3912,LAMB1,E2
123169,LEO1,E2
4035,LRP1,E2
140733,MACROD2,E2
4010,LMX1B,E2
4233,MET,E2
83552,MFRP,E2
4479,MSNP1AS,E2
406928,MIR137,E2
2475,MTOR,E2
4628,MYH10,E2
4644,MYO5A,E2
4650,MYO9B,E2
89797,NAV2,E2
9611,NCOR1,E2
9603,NFE2L3,E2
22981,NINL,E2
22871,NLGN1,E2
57502,NLGN4X,E2
9891,NUAK1,E2
134492,NUDCD2,E2
4983,OPHN1,E2
119772,OR52M1,E2
161725,OTUD7A,E2
5021,OXTR,E2
5026,P2RX5,E2
8974,P4HA2,E2
5053,PAH,E2
5062,PAK2,E2
117583,PARD3B,E2
8864,PER2,E2
57661,PHRF1,E2
23236,PLCB1,E2
5245,PHB,E2
91584,PLXNA4,E2
5364,PLXNB1,E2
57580,PREX1,E2
144165,PRICKLE1,E2
166336,PRICKLE2,E2
5579,PRKCB,E2
25865,PRKD2,E2
5625,PRODH,E2
5071,PRKN,E2
100873065,PTCHD1-AS,E2
5444,PON1,E2
149628,PYHIN1,E2
54870,QRICH1,E2
5862,RAB2A,E2
339122,RAB43,E2
57148,RALGAPB,E2
64901,RANBP17,E2
54715,RBFOX1,E2
54439,RBM27,E2
6092,ROBO2,E2
10055,SAE1,E2
6204,RPS10P2-AS1,E2
6305,SBF1,E2
6335,SCN9A,E2
9037,SEMA5A,E2
50944,SHANK1,E2
6473,SHOX,E2
57468,SLC12A5,E2
10237,SLC35B1,E2
124565,SLC38A10,E2
6531,SLC6A3,E2
84889,SLC7A3,E2
8140,SLC7A5,E2
26050,SLITRK5,E2
4089,SMAD4,E2
6597,SMARCA4,E2
27131,SNX5,E2
8404,SPARCL1,E2
23013,SPEN,E2
9295,SRSF11,E2
8128,ST8SIA2,E2
134957,STXBP5,E2
6878,TAF6,E2
9344,TAOK2,E2
93594,TBC1D31,E2
11198,SUPT16H,E2
7014,TERF2,E2
54790,TET2,E2
55217,TMLHE,E2
23112,TNRC6B,E2
83696,TRAPPC9,E2
7225,TRPC6,E2
4308,TRPM1,E2
9690,UBE3C,E2
254048,UBN2,E2
51366,UBR5,E2
57578,UNC79,E2
9958,USP15,E2
85015,USP45,E2
7874,USP7,E2
7429,VIL1,E2
57705,WDFY4,E2
51741,WWOX,E2
23211,ZC3H4,E2
57178,ZMIZ1,E2
10771,ZMYND11,E2
91752,ZNF804A,E2
18,ABAT,E3
10349,ABCA10,E3
154664,ABCA13,E3
10347,ABCA7,E3
1636,ACE,E3
81,ACTN4,E3
111,ADCY5,E3
132,ADK,E3
140,ADORA3,E3
116987,AGAP1,E3
159,ADSS2,E3
84871,AGBL4,E3
392636,AGMO,E3
192669,AGO3,E3
186,AGTR2,E3
56899,ANKS1B,E3
321,APBA2,E3
89839,ARHGAP11B,E3
9743,ARHGAP32,E3
394,ARHGAP5,E3
9639,ARHGEF10,E3
196528,ARID2,E3
9915,ARNT2,E3
142686,ASB14,E3
438,ASMT,E3
135,ADORA2A,E3
154,ADRB2,E3
476,ATP1A1,E3
478,ATP1A3,E3
367,AR,E3
23545,ATP6V0A2,E3
563,AZGP1,E3
585,BBS4,E3
8537,BCAS1,E3
57448,BIRC6,E3
675,BRCA2,E3
23476,BRD4,E3
683,BST1,E3
8945,BTRC,E3
643338,C15orf62,E3
1378,C4B,E3
765,CA6,E3
774,CACNA1B,E3
778,CACNA1F,E3
8913,CACNA1G,E3
553,AVPR1B,E3
8911,CACNA1I,E3
781,CACNA2D1,E3
23705,CADM1,E3
253559,CADM2,E3
8618,CADPS,E3
93664,CADPS2,E3
815,CAMK2A,E3
92558,BICDL1,E3
814,CAMK4,E3
147968,CAPN12,E3
84433,CARD11,E3
113201,CASC4,E3
440193,CCDC88C,E3
55297,CCDC91,E3
881,CCIN,E3
401145,CCSER1,E3
80381,CD276,E3
952,CD38,E3
83692,CD99L2,E3
1008,CDH10,E3
1009,CDH11,E3
64405,CDH22,E3
1006,CDH8,E3
1007,CDH9,E3
27443,CECR2,E3
60677,CELF6,E3
80184,CEP290,E3
1105,CHD1,E3
1121,CHM,E3
1131,CHRM3,E3
1142,CHRNB3,E3
1183,CLCN4,E3
2055,CLN8,E3
8218,CLTCL1,E3
80790,CMIP,E3
129607,CMPK2,E3
54714,CNGB3,E3
5067,CNTN3,E3
129684,CNTNAP5,E3
340267,COL28A1,E3
1376,CPT2,E3
8532,CPZ,E3
64478,CSMD1,E3
1454,CSNK1E,E3
29119,CTNNA3,E3
23316,CUX2,E3
1524,CX3CR1,E3
1539,CYLC2,E3
1584,CYP11B1,E3
747,DAGLA,E3
1644,DDC,E3
168400,DDX53,E3
85458,DIXDC1,E3
1739,DLG1,E3
205428,DIPK2A,E3
9228,DLGAP2,E3
58512,DLGAP3,E3
28514,DLL1,E3
1750,DLX6,E3
1762,DMWD,E3
23312,DMXL2,E3
196385,DNAH10,E3
8632,DNAH17,E3
55567,DNAH3,E3
92737,DNER,E3
1793,DOCK1,E3
9732,DOCK4,E3
10072,DPP3,E3
1803,DPP4,E3
1804,DPP6,E3
1806,DPYD,E3
1809,DPYSL3,E3
1813,DRD2,E3
1814,DRD3,E3
667,DST,E3
128853,DUSP15,E3
1857,DVL3,E3
143241,DYDC1,E3
84332,DYDC2,E3
1960,EGR3,E3
1977,EIF4E,E3
1993,ELAVL2,E3
2020,EN2,E3
1746,DLX2,E3
1812,DRD1,E3
1981,EIF4G1,E3
54898,ELOVL2,E3
5167,ENPP1,E3
26122,EPC2,E3
2048,EPHB2,E3
83481,EPPK1,E3
2078,ERG,E3
57471,ERMN,E3
2100,ESR2,E3
2103,ESRRB,E3
11336,EXOC3,E3
10640,EXOC5,E3
54536,EXOC6,E3
23233,EXOC6B,E3
2131,EXT1,E3
2171,FABP5,E3
158724,FAM47A,E3
147965,FAM98C,E3
22909,FAN1,E3
2195,FAT1,E3
80204,FBXO11,E3
51725,FBXO40,E3
343413,FCRL6,E3
55079,FEZF2,E3
2243,FGA,E3
2272,FHIT,E3
2444,FRK,E3
9568,GABBR2,E3
254170,FBXO33,E3
2557,GABRA4,E3
114805,GALNT13,E3
79623,GALNT14,E3
283431,GAS2,E3
9615,GDA,E3
148979,GLIS1,E3
2739,GLO1,E3
2742,GLRA2,E3
2778,GNAS,E3
54584,GNB1L,E3
10082,GPC6,E3
2820,GPD2,E3
2861,GPR37,E3
54329,GPR85,E3
2876,GPX1,E3
2895,GRID2,E3
392862,GRID2IP,E3
2899,GRIK3,E3
2900,GRIK4,E3
2915,GRM5,E3
2917,GRM7,E3
2969,GTF2I,E3
2977,GUCY1A2,E3
9759,HDAC4,E3
8970,H2BC11,E3
3115,HLA-DPB1,E3
9456,HOMER1,E3
3351,HTR1B,E3
3359,HTR3A,E3
170572,HTR3C,E3
54768,HYDIN,E3
7850,IL1R2,E3
11141,IL1RAPL1,E3
26280,IL1RAPL2,E3
83943,IMMP2L,E3
3628,INPP1,E3
128239,IQGAP3,E3
3708,ITPR1,E3
6453,ITSN1,E3
221037,JMJD1C,E3
23189,KANK1,E3
3479,IGF1,E3
84056,KATNAL1,E3
3746,KCNC1,E3
3751,KCND2,E3
3752,KCND3,E3
3772,KCNJ15,E3
10089,KCNK7,E3
3778,KCNMA1,E3
253980,KCTD13,E3
221656,KDM1B,E3
23030,KDM4B,E3
202559,KHDRBS2,E3
23303,KIF13B,E3
3800,KIF5C,E3
83855,KLF16,E3
2944,GSTM1,E3
3105,HLA-A,E3
3106,HLA-B,E3
3123,HLA-DRB1,E3
3135,HLA-G,E3
222537,HS3ST5,E3
3290,HSD11B1,E3
11103,KRR1,E3
353288,KRT26,E3
284217,LAMA1,E3
3952,LEP,E3
10288,LILRB2,E3
64130,LIN7B,E3
987,LRBA,E3
57497,LRFN2,E3
145581,LRFN5,E3
4036,LRP2,E3
55227,LRRC1,E3
64101,LRRC4,E3
4128,MAOA,E3
4129,MAOB,E3
5595,MAPK3,E3
4139,MARK1,E3
4152,MBD1,E3
53615,MBD3,E3
8930,MBD4,E3
114785,MBD6,E3
4173,MCM4,E3
4175,MCM6,E3
79648,MCPH1,E3
161357,MDGA2,E3
81887,LAS1L,E3
84445,LZTS2,E3
116931,MED12L,E3
4208,MEF2C,E3
84466,MEGF10,E3
84465,MEGF11,E3
51072,MEMO1,E3
57534,MIB1,E3
2315,MLANA,E3
4335,MNT,E3
51678,MPP6,E3
79684,MSANTD2,E3
84326,METTL26,E3
57496,MRTFB,E3
4481,MSR1,E3
4520,MTF1,E3
4524,MTHFR,E3
10071,MUC12,E3
4585,MUC4,E3
4622,MYH4,E3
23026,MYO16,E3
4643,MYO1E,E3
55930,MYO5C,E3
254827,NAALADL2,E3
344148,NCKAP5,E3
4698,NDUFA5,E3
257194,NEGR1,E3
4756,NEO1,E3
4774,NFIA,E3
4781,NFIB,E3
123606,NIPA1,E3
81614,NIPA2,E3
22829,NLGN4Y,E3
388677,NOTCH2NL,E3
4862,NPAS2,E3
9572,NR1D1,E3
7025,NR2F1,E3
4897,NRCAM,E3
8828,NRP2,E3
22854,NTNG1,E3
4914,NTRK1,E3
56160,NSMCE3,E3
4916,NTRK3,E3
55746,NUP133,E3
30010,NXPH1,E3
284451,ODF3L2,E3
8481,OFD1,E3
26188,OR1C1,E3
127069,OR2T10,E3
5020,OXT,E3
5049,PAFAH1B2,E3
64895,PAPOLG,E3
5087,PBX1,E3
10207,PATJ,E3
57575,PCDH10,E3
27328,PCDH11X,E3
65217,PCDH15,E3
5101,PCDH9,E3
56147,PCDHA1,E3
56139,PCDHA10,E3
56138,PCDHA11,E3
56137,PCDHA12,E3
56136,PCDHA13,E3
56146,PCDHA2,E3
56145,PCDHA3,E3
56144,PCDHA4,E3
56143,PCDHA5,E3
56142,PCDHA6,E3
56141,PCDHA7,E3
56140,PCDHA8,E3
9752,PCDHA9,E3
56135,PCDHAC1,E3
5108,PCM1,E3
5133,PDCD1,E3
5137,PDE1C,E3
5164,PDK2,E3
5187,PER1,E3
5191,PEX7,E3
5307,PITX1,E3
5329,PLAUR,E3
84812,PLCD4,E3
5350,PLN,E3
55558,PLXNA3,E3
26245,OR2M4,E3
5013,OTX1,E3
56134,PCDHAC2,E3
5294,PIK3CG,E3
375775,PNPLA7,E3
23649,POLA2,E3
10585,POMT1,E3
65057,POT1,E3
8500,PPFIA1,E3
8493,PPM1D,E3
5519,PPP2R1B,E3
5575,PRKAR1B,E3
5578,PRKCA,E3
5591,PRKDC,E3
55015,PRPF39,E3
158471,PRUNE2,E3
23362,PSD3,E3
58155,PTBP2,E3
11128,POLR3A,E3
5743,PTGS2,E3
5787,PTPRB,E3
5788,PTPRC,E3
11122,PTPRT,E3
7837,PXDN,E3
26056,RAB11FIP5,E3
84152,PPP1R1B,E3
116442,RAB39B,E3
642636,RAD21L1,E3
11069,RAPGEF4,E3
83593,RASSF5,E3
221035,REEP3,E3
6000,RGS7,E3
158800,RHOXF1,E3
9783,RIMS3,E3
6014,RIT2,E3
84282,RNF135,E3
64320,RNF25,E3
152006,RNF38,E3
6134,RPL10,E3
6196,RPS6KA2,E3
6197,RPS6KA3,E3
148398,SAMD11,E3
23328,SASH1,E3
23314,SATB2,E3
337880,RP11-1407O15.2,E3
9699,RIMS2,E3
152579,SCFD2,E3
6329,SCN4A,E3
6342,SCP2,E3
6383,SDC2,E3
23067,SETD1B,E3
9869,SETDB1,E3
83852,SETDB2,E3
26470,SEZ6L2,E3
23451,SF3B1,E3
27352,SGSM3,E3
344558,SH3RF3,E3
5054,SERPINE1,E3
9739,SETD1A,E3
6505,SLC1A1,E3
55356,SLC22A15,E3
114571,SLC22A9,E3
25769,SLC24A2,E3
8604,SLC25A12,E3
9481,SLC25A27,E3
51629,SLC25A39,E3
10999,SLC27A4,E3
222962,SLC29A4,E3
57282,SLC4A10,E3
6532,SLC6A4,E3
6535,SLC6A8,E3
9056,SLC7A7,E3
285195,SLC9A9,E3
28234,SLCO1B3,E3
9126,SMC3,E3
23293,SMG6,E3
57154,SMURF1,E3
6616,SNAP25,E3
27044,SND1,E3
54221,SNTG2,E3
6694,SPP2,E3
9901,SRGAP3,E3
23145,SSPO,E3
6749,SSRP1,E3
54879,ST7,E3
6804,STX1A,E3
6647,SOD1,E3
27347,STK39,E3
55359,STYK1,E3
94056,SYAP1,E3
6853,SYN1,E3
6854,SYN2,E3
10492,SYNCRIP,E3
23345,SYNE1,E3
8867,SYNJ1,E3
9013,TAF1C,E3
9779,TBC1D5,E3
55638,SYBU,E3
6855,SYP,E3
50945,TBX22,E3
7007,TECTA,E3
7057,THBS1,E3
7067,THRA,E3
145645,TERB2,E3
116211,TM4SF19,E3
55116,TMEM39B,E3
8940,TOP3B,E3
51760,SYT17,E3
6907,TBL1X,E3
6999,TDO2,E3
64216,TFB2M,E3
7173,TPO,E3
22954,TRIM32,E3
51592,TRIM33,E3
8295,TRRAP,E3
26262,TSPAN17,E3
7106,TSPAN4,E3
7102,TSPAN7,E3
83538,TTC25,E3
7273,TTN,E3
114791,TUBGCP5,E3
9256,TSPOAP1,E3
51720,UIMC1,E3
23025,UNC13A,E3
285175,UNC80,E3
26019,UPF2,E3
7399,USH2A,E3
8287,USP9Y,E3
11326,VSIG4,E3
65267,WNK3,E3
7471,WNT1,E3
7514,XPO1,E3
7328,UBE2H,E3
2547,XRCC6,E3
55689,YEATS2,E3
64848,YTHDC2,E3
7531,YWHAE,E3
7532,YWHAG,E3
9877,ZC3H11A,E3
23503,ZFYVE26,E3
22846,VASH1,E3
7421,VDR,E3
7704,ZBTB16,E3
7566,ZNF18,E3
151126,ZNF385B,E3
340385,ZNF517,E3
147694,ZNF548,E3
84527,ZNF559,E3
199777,ZNF626,E3
349075,ZNF713,E3
342132,ZNF774,E3
152485,ZNF827,E3
55055,ZWILCH,E3
