Approved symbol	Previous symbols	Synonyms	NCBI Gene ID	Ensembl gene ID
ABCA2	ABC2		20	ENSG00000107331
ABCA3	ABC3	ABC-C, EST111653, LBM180	21	ENSG00000167972
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24	ENSG00000198691
ABCA5		EST90625	23461	ENSG00000154265
ABCA6		EST155051	23460	ENSG00000154262
ABCA7		ABCX	10347	ENSG00000064687
ABCA8		KIAA0822	10351	ENSG00000141338
ABCA9		EST640918	10350	ENSG00000154258
ABCA9-AS1				ENSG00000231749
ABCA10		EST698739	10349	ENSG00000154263
ABCA11P	ABCA11	EST1133530, FLJ14297	79963	ENSG00000251595
ABCA12	ICR2B	DKFZP434G232, LI2	26154	ENSG00000144452
ABCA13		FLJ33876, FLJ33951	154664	ENSG00000179869
ABCA17P			650655	ENSG00000238098
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243	ENSG00000085563
ABCB2~withdrawn				
ABCB3~withdrawn				
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244	ENSG00000005471
ABCB5		EST422562, ABCB5beta, ABCB5alpha	340273	ENSG00000004846
ABCB6		EST45597, umat, MTABC3	10058	ENSG00000115657
ABCB7	ABC7	EST140535, Atm1p, ASAT	22	ENSG00000131269
ABCB8		EST328128, M-ABC1, MABC1	11194	ENSG00000197150
ABCB9		EST122234	23457	ENSG00000150967
ABCB10		EST20237, M-ABC2, MTABC2	23456	ENSG00000135776
ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476	ENSG00000274099
ABCB10P2~withdrawn				
ABCB10P3			728248	ENSG00000261524
ABCB10P4			100132289	ENSG00000260053
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647	ENSG00000073734
ABCC1	MRP, MRP1	GS-X	4363	ENSG00000103222
ABCC2	CMOAT	DJS, MRP2, cMRP	1244	ENSG00000023839
ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	ENSG00000108846
ABCC4		MRP4, EST170205, MOAT-B, MOATB	10257	ENSG00000125257
ABCC5		MRP5, SMRP, EST277145, MOAT-C	10057	ENSG00000114770
ABCC5-AS1	100873982	ENSG00000223882
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368	ENSG00000091262
ABCC6P1			653190	ENSG00000256340
ABCC6P2			730013	ENSG00000255277
ABCC7~withdrawn				
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	ENSG00000006071
ABCC9		SUR2, CMD1O	10060	ENSG00000069431
ABCC10		EST182763, MRP7, SIMRP7	89845	ENSG00000124574
ABCC11		MRP8	85320	ENSG00000121270
ABCC12		MRP9	94160	ENSG00000140798
ABCC13		PRED6, C21orf73, ABCC13P	150000	ENSG00000243064
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	215	ENSG00000101986
ABCD1P1			23785	
ABCD1P2		bA453N3.6	26983	ENSG00000215151
ABCD1P3			26982	ENSG00000261233
ABCD1P4			26957	ENSG00000225293
ABCD1P5			642762	ENSG00000214330
ABCD2	ALDL1	ALDR, ALDRP	225	ENSG00000173208
ABCD3	PXMP1	PMP70, ZWS2	5825	ENSG00000117528
ABCD4	PXMP1L	PMP69, P70R, EST352188	5826	ENSG00000119688
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	6059	ENSG00000164163
ABCF1	ABC50	EST123147	23	ENSG00000204574
ABCF1-DT			107986587	
ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	10061	ENSG00000033050
ABCF2P1			344653	ENSG00000242159
ABCF2P2			100422059	ENSG00000228769
ABCF3		EST201864	55324	ENSG00000161204
ABCG1		ABC8	9619	ENSG00000160179
ABCG2		EST157481, MXR, BCRP, ABCP, CD338	9429	ENSG00000118777
ABCG4		WHITE2	64137	ENSG00000172350
ABCG5		STSL	64240	ENSG00000138075
ABCG8		GBD4	64241	ENSG00000143921
ABCR~withdrawn				
ABHD1		LABH1, FLJ36128	84696	ENSG00000143994
ABHD2		LABH2	11057	ENSG00000140526
ABHD3		LABH3	171586	ENSG00000158201
ABHD4		FLJ12816	63874	ENSG00000100439
ABHD5		CGI-58, NCIE2	51099	ENSG00000011198
ABHD6			57406	ENSG00000163686
ABHD8		FLJ11743, MGC14280, MGC2512	79575	ENSG00000127220
ABHD10		FLJ11342	55347	ENSG00000144827
ABHD11	WBSCR21	PP1226	83451	ENSG00000106077
ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	171022	ENSG00000225969
ABHD11-AS2~withdrawn				
ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	ENSG00000100997
ABHD12B	C14orf29	BEM46L3	145447	ENSG00000131969
ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945	ENSG00000139826
ABHD14A		DKFZP564O243, DORZ1	25864	ENSG00000248487
ABHD14A-ACY1			100526760	ENSG00000114786
ABHD14B		MGC15429, CIB	84836	ENSG00000114779
ABHD15			116236	ENSG00000168792
ABHD15-AS1		linc-TP53I13, lnc-TP53I13		ENSG00000264031
ABHD16A	BAT5	NG26, D6S82E	7920	ENSG00000204427
ABHD16B	C20orf135	dJ591C20.1	140701	ENSG00000183260
ABHD17A	C19orf27, FAM108A1	MGC5244	81926	ENSG00000129968
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917	ENSG00000198658
ABHD17AP2~withdrawn				
ABHD17AP3	FAM108A4, FAM108A4P		648359	ENSG00000250536
ABHD17AP4	FAM108A5, FAM108A5P		729495	ENSG00000229107
ABHD17AP5	FAM108A6, FAM108A6P		91219	ENSG00000263366
ABHD17AP6	FAM108A7P		644988	ENSG00000226981
ABHD17AP7	FAM108A8P		100133212	ENSG00000260864
ABHD17AP8	FAM108A9P		647144	ENSG00000260540
ABHD17AP9	FAM108A10P		100132251	ENSG00000261536
ABHD17B	C9orf77, FAM108B1	CGI-67	51104	ENSG00000107362
ABHD17C	FAM108C1		58489	ENSG00000136379
ABHD18	C4orf29	FLJ21106	80167	ENSG00000164074
ABI1	SSH3BP1	E3B1, ABI-1	10006	ENSG00000136754
ABI1P1	SSH3BP1P, ABI1P		326268	ENSG00000271484
ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	ENSG00000138443
ABI3		NESH, SSH3BP3	51225	ENSG00000108798
ABI3BP		NESHBP, DKFZP586L2024, TARSH	25890	ENSG00000154175
ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	54942	ENSG00000119328
ABITRAMP1	FAM206BP		390403	ENSG00000251106
ABL1	ABL	JTK7, c-ABL, p150	25	ENSG00000097007
ABL2	ABLL	ARG	27	ENSG00000143322
ABLIM1	LIMAB1, ABLIM	abLIM, limatin	3983	ENSG00000099204
ABLIM2		KIAA1808	84448	ENSG00000163995
ABLIM3		KIAA0843	22885	ENSG00000173210
ABO		A3GALNT, A3GALT1	28	ENSG00000175164
ABR		MDB	29	ENSG00000159842
ABRA		STARS	137735	ENSG00000174429
ABRACL	C6orf115	PRO2013, HSPC280, Costars	58527	ENSG00000146386
ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	84142	ENSG00000163322
ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	23172	ENSG00000165660
ABT1		Esf2	29777	ENSG00000146109
ABT1P1			100420695	ENSG00000250496
ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	80325	ENSG00000114626
ABTB2		DKFZP586C1619, BTBD22, ABTB2A	25841	ENSG00000166016
ACAA1			30	ENSG00000060971
ACAA2		DSAEC	10449	ENSG00000167315
ACACA	ACAC, ACC	ACC1	31	ENSG00000278540
ACACB		HACC275, ACC2, ACCB	32	ENSG00000076555
ACAD~withdrawn				
ACAD8			27034	ENSG00000151498
ACAD9		NPD002, MGC14452	28976	ENSG00000177646
ACAD10		MGC5601	80724	ENSG00000111271
ACAD11		FLJ12592	84129	ENSG00000240303
ACADL		LCAD, ACAD4	33	ENSG00000115361
ACADM		MCAD, MCADH, ACAD1	34	ENSG00000117054
ACADS		SCAD, ACAD3	35	ENSG00000122971
ACADSB		SBCAD, ACAD7	36	ENSG00000196177
ACADVL		VLCAD, LCACD, ACAD6	37	ENSG00000072778
ACAN	MSK16, CSPG1, AGC1	CSPGCP	176	ENSG00000157766
ACAP1	CENTB1	KIAA0050	9744	ENSG00000072818
ACAP2	CENTB2	KIAA0041, CNT-B2	23527	ENSG00000114331
ACAP2-IT1				ENSG00000229325
ACAP3	CENTB5	KIAA1716	116983	ENSG00000131584
ACAT1	ACAT	THIL	38	ENSG00000075239
ACAT2			39	ENSG00000120437
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	64746	ENSG00000182827
ACBD3-AS1		RP11-275I14.4	107985353	ENSG00000234478
ACBD4		FLJ13322	79777	ENSG00000181513
ACBD5		DKFZp434A2417, KIAA1996	91452	ENSG00000107897
ACBD6		MGC2404	84320	ENSG00000230124
ACBD7		FLJ38219, bA455B2.2	414149	ENSG00000176244
ACBP~withdrawn				
ACC~withdrawn				
ACCN~withdrawn				
ACCPN~withdrawn				
ACCS		PHACS, ACS	84680	ENSG00000110455
ACCSL			390110	ENSG00000205126
ACD		Ptop, Pip1, Tpp1, Tint1	65057	ENSG00000102977
ACE	DCP1	ACE1, CD143	1636	ENSG00000159640
ACE2			59272	ENSG00000130234
ACE3P			100129123	ENSG00000224353
ACER1	ASAH3		125981	ENSG00000167769
ACER2	ASAH3L	FLJ41587, ALKCDase2	340485	ENSG00000177076
ACER3	PHCA	FLJ11238, APHC	55331	ENSG00000078124
ACH~withdrawn				
ACHAP~withdrawn				
ACHE	YT		43	ENSG00000087085
ACHM1~withdrawn				
ACHM2~withdrawn				
ACHM3~withdrawn				
ACHRD~withdrawn				
ACHRG~withdrawn				
ACIN1	ACINUS	KIAA0670, fSAP152	22985	ENSG00000100813
ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	2532	ENSG00000213088
ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238	ENSG00000144648
ACKR3	CMKOR1, CXCR7	RDC1, GPR159	57007	ENSG00000144476
ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	ENSG00000129048
ACKR4P1	CCRL1P, CCRL1P1	dJ509I19.4	285737	ENSG00000225415
ACLS			46	
ACLY		ATPCL, CLATP, ACL	47	ENSG00000131473
ACMG~withdrawn				
ACMSD			130013	ENSG00000153086
ACNATP	BAATP1		347275	ENSG00000227411
ACO1	IREB1	IRP1, IREBP	48	ENSG00000122729
ACO2		ACONM	50	ENSG00000100412
ACOD1	IRG1	CAD	730249	ENSG00000102794
ACOT1		ACH2, CTE-1, LACH2	641371	ENSG00000184227
ACOT2		Mte1, ZAP128	10965	ENSG00000119673
ACOT4		FLJ31235, PTE-Ib, PTE2B	122970	ENSG00000177465
ACOT6	C14orf42		641372	ENSG00000205669
ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	ENSG00000097021
ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	10005	ENSG00000101473
ACOT9		CGI-16, MT-ACT48, ACATE2	23597	ENSG00000123130
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	ENSG00000162390
ACOT12		Cach, THEAL, STARD15	134526	ENSG00000172497
ACOT13	THEM2	HT012	55856	ENSG00000112304
ACOX1		PALMCOX	51	ENSG00000161533
ACOX2		BRCACOX, BRCOX, THCCox	8309	ENSG00000168306
ACOX3			8310	ENSG00000087008
ACOXL		FLJ11042	55289	ENSG00000153093
ACOXL-AS1			400997	ENSG00000204581
ACP1		HAAP, LMW-PTP, LMWPTP	52	ENSG00000143727
ACP2		LAP	53	ENSG00000134575
ACP4	ACPT		93650	ENSG00000142513
ACP5		TRAP, HPAP	54	ENSG00000102575
ACP6		LPAP, ACPL1	51205	ENSG00000162836
ACP7		FLJ16165, PAPL1, PAPL	390928	ENSG00000183760
ACPP		ACP3, ACP-3, PAP	55	ENSG00000014257
ACR			49	ENSG00000100312
ACRBP		SP32, OY-TES-1, CT23	84519	ENSG00000111644
ACRV1		SPACA2, SP-10, D11S4365	56	ENSG00000134940
ACS3~withdrawn				
ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	ENSG00000103740
ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	81616	ENSG00000130377
ACSF2		FLJ20920, ACSMW	80221	ENSG00000167107
ACSF3			197322	ENSG00000176715
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180	ENSG00000151726
ACSL3	FACL3	ACS3, PRO2194	2181	ENSG00000123983
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	2182	ENSG00000068366
ACSL5	FACL5	ACS5, ACS2	51703	ENSG00000197142
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305	ENSG00000164398
ACSM1	BUCS1	MACS1	116285	ENSG00000166743
ACSM2A	ACSM2	A-923A4.1, MGC150530	123876	ENSG00000183747
ACSM2B	ACSM2	HXMA, HYST1046	348158	ENSG00000066813
ACSM3	SAH	SA	6296	ENSG00000005187
ACSM4			341392	ENSG00000215009
ACSM5		FLJ20581	54988	ENSG00000183549
ACSM5P1			100421779	ENSG00000260762
ACSM6	C10orf129	bA310E22.3	142827	ENSG00000173124
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532	ENSG00000154930
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902	ENSG00000131069
ACSS3		FLJ21963	79611	ENSG00000111058
ACTA1	ACTA	NEM3	58	ENSG00000143632
ACTA2		ACTSA	59	ENSG00000107796
ACTA2-AS1		uc001kfo.1, ZXF1, UC001kfo	100132116	ENSG00000180139
ACTA3~withdrawn				
ACTB			60	ENSG00000075624
ACTBL2		DKFZp686D0972	345651	ENSG00000169067
ACTBP1			643309	ENSG00000229145
ACTBP2			62	ENSG00000213763
ACTBP3			63	
ACTBP4			64	
ACTBP5~withdrawn				
ACTBP6			66	ENSG00000203413
ACTBP7			67	ENSG00000185607
ACTBP8		ACTBP2	68	ENSG00000220267
ACTBP9			69	ENSG00000266920
ACTBP10			446207	
ACTBP11			644220	ENSG00000188460
ACTBP12	ACTGP5		100462767	ENSG00000233125
ACTBP13			389120	ENSG00000234667
ACTBP14			389976	ENSG00000229001
ACTC1	ACTC	CMD1R	70	ENSG00000159251
ACTG1	ACTG, DFNA20, DFNA26		71	ENSG00000184009
ACTG1P1	ACTGP1, ACT1GP1		73	ENSG00000178631
ACTG1P2	ACTL2, ACTGP2		74	ENSG00000229129
ACTG1P3	ACTGP3		75	ENSG00000215388
ACTG1P4	ACTGP4		648740	ENSG00000236085
ACTG1P6	ACTGP6		78	
ACTG1P7	ACTGP7		79	
ACTG1P8	ACTGP8		80	
ACTG1P9	ACTGP9		82	ENSG00000229349
ACTG1P10	ACTL1, ACTGP10		83	ENSG00000231340
ACTG1P11			414754	ENSG00000229465
ACTG1P12			100418921	ENSG00000226642
ACTG1P13			100418920	ENSG00000241305
ACTG1P14			100418910	ENSG00000230581
ACTG1P15			100418951	ENSG00000259904
ACTG1P16			100418960	ENSG00000260298
ACTG1P17			283693	ENSG00000259315
ACTG1P18			100418924	ENSG00000218475
ACTG1P19			644160	ENSG00000237999
ACTG1P20			644961	ENSG00000241547
ACTG1P21			100131291	ENSG00000232672
ACTG1P22			100131953	ENSG00000271615
ACTG1P23			442097	ENSG00000230362
ACTG1P24	POTENP		441783	ENSG00000226359
ACTG2	ACTL3, ACTA3	ACTSG	72	ENSG00000163017
ACTL2~withdrawn				
ACTL3~withdrawn				
ACTL4~withdrawn				
ACTL5~withdrawn				
ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	86	ENSG00000136518
ACTL6B	ACTL6	BAF53B	51412	ENSG00000077080
ACTL7A			10881	ENSG00000187003
ACTL7B		Tact1	10880	ENSG00000148156
ACTL8		CT57	81569	ENSG00000117148
ACTL9		MGC33407	284382	ENSG00000181786
ACTL10	C20orf134		170487	ENSG00000182584
ACTN1			87	ENSG00000072110
ACTN1-AS1	C14orf84		161159	ENSG00000259062
ACTN2			88	ENSG00000077522
ACTN3			89	ENSG00000248746
ACTN4	FSGS1		81	ENSG00000130402
ACTN4P1			344978	ENSG00000213493
ACTN4P2			391026	ENSG00000214141
ACTP1			106480335	ENSG00000229890
ACTR1A		ARP1, Arp1A	10121	ENSG00000138107
ACTR1B	CTRN2	Arp1B	10120	ENSG00000115073
ACTR2		ARP2	10097	ENSG00000138071
ACTR3		ARP3	10096	ENSG00000115091
ACTR3-AS1		AC104653.1	101060091	
ACTR3B		ARP11, ARP3beta	57180	ENSG00000133627
ACTR3BP1			643050	ENSG00000270242
ACTR3BP2		FKSG73	440888	ENSG00000226481
ACTR3BP3			647156	ENSG00000260327
ACTR3BP4			777774	ENSG00000249283
ACTR3BP5			399746	ENSG00000227264
ACTR3BP6			644773	ENSG00000226444
ACTR3C		ARP11	653857	ENSG00000106526
ACTR3P1			100288580	
ACTR3P2			100129013	ENSG00000232267
ACTR3P3			100128020	ENSG00000242573
ACTR5		FLJ12785, Arp5, INO80M	79913	ENSG00000101442
ACTR6		ARP6, FLJ13433	64431	ENSG00000075089
ACTR6P1			100421495	ENSG00000248915
ACTR8		INO80N, ARP8	93973	ENSG00000113812
ACTR10		HARP11, ACTR11, Arp11, Arp10	55860	ENSG00000131966
ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1	139741	ENSG00000123165
ACTRT2		Arp-T2, ARPM2, FLJ25424	140625	ENSG00000169717
ACTRT3		ARPM1	84517	ENSG00000184378
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A	90	ENSG00000115170
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	91	ENSG00000135503
ACVR1C		ALK7, ACVRLK7	130399	ENSG00000123612
ACVR2A	ACVR2	ACTRII	92	ENSG00000121989
ACVR2B		ActR-IIB	93	ENSG00000114739
ACVR2B-AS1			100128640	ENSG00000229589
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT	94	ENSG00000139567
ACVRLK2~withdrawn				
ACY1			95	ENSG00000243989
ACY1L~withdrawn				
ACY3		HCBP1, MGC9740, ACY-3	91703	ENSG00000132744
ACYP1			97	ENSG00000119640
ACYP2			98	ENSG00000170634
AD1~withdrawn				
AD2~withdrawn				
AD3~withdrawn				
AD4~withdrawn				
AD5				
ADA			100	ENSG00000196839
ADA2	IDGFL, CECR1	ADGF	51816	ENSG00000093072
ADAD1		Tenr	132612	ENSG00000164113
ADAD1P1			100422386	
ADAD1P2			100422407	ENSG00000267511
ADAD2		TENRL, FLJ00337	161931	ENSG00000140955
ADAL			161823	ENSG00000168803
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	8759	ENSG00000229186
ADAM1B			100420505	ENSG00000226469
ADAM2	FTNB	PH-30b, PH30, CT15	2515	ENSG00000104755
ADAM3A	CYRN1	ADAM3, tMDCI	1587	ENSG00000197475
ADAM3B	CYRN2		1596	ENSG00000260089
ADAM5	ADAM5P	tMDCII	255926	ENSG00000196115
ADAM6	C14orf96	tMDCIV	8755	ENSG00000271968
ADAM7		GP-83, EAPI	8756	ENSG00000069206
ADAM8		CD156, MS2, CD156a	101	ENSG00000151651
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng	8754	ENSG00000168615
ADAM10		kuz, MADM, HsT18717, CD156c	102	ENSG00000137845
ADAM11	MDC		4185	ENSG00000073670
ADAM12		MCMPMltna, MLTN	8038	ENSG00000148848
ADAM12-OT1~withdrawn				
ADAM15		MDC15	8751	ENSG00000143537
ADAM17	TACE	cSVP, CD156B	6868	ENSG00000151694
ADAM18		tMDCIII, ADAM27	8749	ENSG00000168619
ADAM19		MLTNB	8728	ENSG00000135074
ADAM20			8748	ENSG00000134007
ADAM20P1	C14orf55		317760	ENSG00000259158
ADAM20P2			100533671	ENSG00000248574
ADAM20P3			644325	ENSG00000249162
ADAM21		ADAM31	8747	ENSG00000139985
ADAM21P1	ADAM21P		145241	ENSG00000235812
ADAM22		MDC2	53616	ENSG00000008277
ADAM23		MDC3	8745	ENSG00000114948
ADAM24P			646479	ENSG00000214607
ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	10863	ENSG00000042980
ADAM29		svph1, CT73	11086	ENSG00000168594
ADAM30		svph4	11085	ENSG00000134249
ADAM32			203102	ENSG00000197140
ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1	80332	ENSG00000149451
ADAMDEC1		M12.219	27299	ENSG00000134028
ADAMTS1		C3-C5, METH1, KIAA1346	9510	ENSG00000154734
ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	9509	ENSG00000087116
ADAMTS3		KIAA0366, ADAMTS-4	9508	ENSG00000156140
ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1	9507	ENSG00000158859
ADAMTS5		ADMP-2, ADAMTS11	11096	ENSG00000154736
ADAMTS6		ADAM-TS6	11174	ENSG00000049192
ADAMTS7		ADAM-TS7, DKFZp434H204	11173	ENSG00000136378
ADAMTS7P1	ADAMTS7P2		390660	ENSG00000274376
ADAMTS7P2~withdrawn				
ADAMTS7P3			400406	ENSG00000261143
ADAMTS7P4			642935	ENSG00000218052
ADAMTS8		METH2, FLJ41712, ADAM-TS8	11095	ENSG00000134917
ADAMTS9		KIAA1312	56999	ENSG00000163638
ADAMTS9-AS1			101929335	ENSG00000241158
ADAMTS9-AS2			100507098	ENSG00000241684
ADAMTS10		ADAM-TS10	81794	ENSG00000142303
ADAMTS12			81792	ENSG00000151388
ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	11093	ENSG00000160323
ADAMTS14			140766	ENSG00000138316
ADAMTS15			170689	ENSG00000166106
ADAMTS16		ADAMTS16s	170690	ENSG00000145536
ADAMTS17		FLJ32769, FLJ16363	170691	ENSG00000140470
ADAMTS18	ADAMTS21		170692	ENSG00000140873
ADAMTS19			171019	ENSG00000145808
ADAMTS19-AS1		RP11-346A9.1		ENSG00000249421
ADAMTS20		GON-1	80070	ENSG00000173157
ADAMTS21~withdrawn				
ADAMTSL1	C9orf94	ADAMTSR1, FLJ35283	92949	ENSG00000178031
ADAMTSL2		KIAA0605	9719	ENSG00000197859
ADAMTSL3		KIAA1233, punctin-2	57188	ENSG00000156218
ADAMTSL4	TSRC1	DKFZP434K1772	54507	ENSG00000143382
ADAMTSL4-AS1	C1orf138	FLJ45786		ENSG00000203804
ADAMTSL5	THSD6		339366	ENSG00000185761
ADAP1	CENTA1	GCS1L	11033	ENSG00000105963
ADAP2	CENTA2		55803	ENSG00000184060
ADAR	IFI4, G1P1	ADAR1	103	ENSG00000160710
ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	104	ENSG00000197381
ADARB2		RED2, hRED2, ADAR3	105	ENSG00000185736
ADARB2-AS1	C10orf109, NCRNA00168	bA466B20.1	642394	ENSG00000205696
ADAT1			23536	ENSG00000065457
ADAT2	DEADC1	dJ20N2.1, TAD2	134637	ENSG00000189007
ADAT3		TAD3	113179	ENSG00000213638
ADCK1		FLJ39600	57143	ENSG00000063761
ADCK2		MGC20727	90956	ENSG00000133597
ADCK5		FLJ35454	203054	ENSG00000173137
ADCP1			106	
ADCP2~withdrawn				
ADCR~withdrawn				
ADCY1	DFNB44	AC1	107	ENSG00000164742
ADCY2		HBAC2, KIAA1060, AC2	108	ENSG00000078295
ADCY3		AC3	109	ENSG00000138031
ADCY4		AC4	196883	ENSG00000129467
ADCY5		AC5	111	ENSG00000173175
ADCY6		AC6	112	ENSG00000174233
ADCY7		KIAA0037, AC7	113	ENSG00000121281
ADCY8	ADCY3	HBAC1, AC8	114	ENSG00000155897
ADCY9		AC9	115	ENSG00000162104
ADCY10		SAC, Sacy, SACI, HCA2, RP1-313L4.2	55811	ENSG00000143199
ADCY10P1			221442	ENSG00000161912
ADCYAP1		PACAP	116	ENSG00000141433
ADCYAP1R1		PAC1, PACAPR, PAC1R	117	ENSG00000078549
ADD1			118	ENSG00000087274
ADD2		ADDB	119	ENSG00000075340
ADD3	ADDL		120	ENSG00000148700
ADD3-AS1			100505933	ENSG00000203876
ADDL~withdrawn				
ADFN			122	
ADGB	C6orf103	FLJ23121, dJ408K24.1, CAPN16	79747	ENSG00000118492
ADGRA1	GPR123	KIAA1828	84435	ENSG00000197177
