Gene Name,Gene ID
daam2,23500
znf436-as1,148898
rbmy2bp,375850
slc30a8,169026
frmd5,84978
nyap1,222950
znf845,91664
myadm,91663
nlrp12,91662
znf765,91661
mir1257,100302168
notch2nla,388677
ostm1-as1,100287366
100287367,100287367
usp17l18,100287364
prss46p,100287362
hmgn2p46,283651
slc24a5,283652
nat8b,51471
lgr5,8549
blzf1,8548
lima1,51474
cabp2,51475
cggbp1,8545
pir,8544
fcn3,8547
ap3b1,8546
ppfia3,8541
agps,8540
lmo4,8543
apol1,8542
729970,729970
bdkrb2,624
frmd6-as1,145438
rplp1p8,100128745
nms,129521
100302291,100302291
pnrc2,55629
znf407,55628
zswim9,374920
thumpd1,55623
ttc27,55622
trmt1,55621
stap2,55620
smpd4,55627
ambra1,55626
zdhhc7,55625
pomgnt1,55624
c2orf80,389073
plekhm3,389072
resp18,389075
znf341,84905
728715,728715
linc01346,728716
fam177a1p1,728710
spanxa2,728712
mex3a,92312
apom,55937
vwa5b1,127731
pcdh12,51294
ubxn10,127733
wnk2,65268
cd320,51293
ergic2,51290
gmip,51291
ube2z,65264
c8orf33,65265
wnk4,65266
wnk3,65267
coa7,65260
xirp1,165904
theg,51298
pycr3,65263
arhgap4,393
arhgap1,392
rhog,391
rnd3,390
arhgdib,397
arhgdia,396
arhgap6,395
arhgap5,394
rhoh,399
arhgdig,398
or6c4,341418
fam122b,159090
fam122c,159091
plek2,26499
or8g2p,26492
znf561,93134
or10a3,26496
or10d3,26497
or8g1,26494
or9a1p,26495
mroh5,389690
kcnc3,3748
kcnc4,3749
kcnc1,3746
kcnc2,3747
kcna10,3744
kcnb1,3745
kcna6,3742
kcna7,3743
kcna5,3741
anapc1p1,100286979
rpl29p17,645224
slc35f1,222553
phrf1,57661
pgm5-as1,572558
camsap3,57662
rdh14,57665
plekha4,57664
traf3ip1,26146
fbrsl1,57666
epb41l5,57669
znf658,26149
cyp4f30p,100132708
ttty3b,474148
342293,342293
clmp,79827
efcc1,79825
camkmt,79823
arhgap28,79822
catsperb,79820
hdac11,79885
naa40,79829
mettl8,79828
ephb6,2051
ephb4,2050
ephx2,2053
ephx1,2052
cln8,2055
stx2,2054
epor,2057
epo,2056
eps8,2059
eprs,2058
ahnak2,113146
rnf151,146310
nktr,4820
nkx2-2,4821
linc01193,348120
csnk1a1l,122011
agtrap,57085
slc17a6,57084
100129826,100129826
mrvi1-as1,100129827
prg3,10394
dlc1,10395
knl1,57082
rnf212b,100507650
entpd7,57089
plscr4,57088
or11h12,440153
tstd3,100130890
ampd2,271
larp1bp1,644578
linc01220,731223
sonp1,148300
rfx8,731220
fam204a,63877
pknox2,63876
mrpl17,63875
abhd4,63874
sult1c2,6819
sult1a3,6818
100131700,100131700
c1orf74,148304
stx5,6811
stx4,6810
stxbp2,6813
stxbp1,6812
styx,6815
stxbp3,6814
sult1a1,6817
mir759,100313778
kmt2b,9757
tbkbp1,9755
stard8,9754
zscan12,9753
pcdha9,9752
snph,9751
ripor2,9750
401166,401166
hdac4,9759
frmpd4,9758
cldn15,24146
fjx1,24147
tfip11,24144
panx1,24145
naa80,24142
linc01060,401164
ftsj1,24140
lamp5,24141
prpf6,24148
znf318,24149
znf800,168850
serpine3,647174
339192,339192
ccdc180,100499483
slco1b7,338821
krtap2-2,728279
slc35g3,146861
unc45b,146862
ssc4d,136853
scgb1c1,147199
macc1,346389
157247,157247
snord5,692072
snora16a,692073
100129174,100129174
100129175,100129175
snord7,692076
snord6,692075
hmgn1p38,643790
643797,643797
tmem68,137695
rpsap36,100128888
100128885,100128885
653877,653877
vps9d1-as1,100128881
psmc1p11,442153
645566,645566
ankrd13a,88455
abcc3,8714
tradd,8717
rpl39p,140719
topaz1,375337
728461,728461
645769,645769
100128315,100128315
100128310,100128310
339539,339539
linc01139,339535
bmp10,27302
100128319,100128319
cks1bp7,137529
hes5,388585
krtap4-9,100132386
adamts15,170689
insyn2a,642938
nudt10,170685
rsph4a,345895
psors1c2,170680
soga1,140710
glt1d1,144423
linc01343,339442
abhd17ap5,91219
rab42,115273
c1orf174,339448
643406,643406
fam81a,145773
100293916,100293916
c15orf62,643338
643332,643332
adgrl2,23266
zc3h7b,23264
exoc7,23265
lin54,132660
mcf2l,23263
spdye21p,442572
camta1,23261
nanogp5,414133
stag3l3,442578
dnmbp,23268
mga,23269
snord1c,677850
644215,644215
phbp11,644214
map1lc3b2,643246
gapdhp32,644213
s100z,170591
tmem161b,153396
rps6p13,392358
bpifb6,128859
tspy26p,128854
ppiap87,392352
dusp15,128853
lce6a,448835
kprp,448834
stat6,6778
stath,6779
frg2,448831
stat3,6774
stat4,6775
stat5a,6776
stat5b,6777
star,6770
stat1,6772
stat2,6773
slc38a5,92745
bpifb1,92747
drc1,92749
pcdhgb5,56101
kctd4,386618
smim14,201895
kif19,124602
100288178,100288178
mrps21p3,359767
mrps17p9,359760
mrps18bp1,359762
ube2v1p15,100288170
100288177,100288177
441005,441005
morf4l1p2,326594
cpeb2-dt,441009
spi1,6688
spib,6689
spast,6683
spg7,6687
scp2d1,140856
rwdd4,201965
sdc4p,376844
gvqw3,100506127
defb127,140850
mt1p3,140851
ascl4,121549
maged1,9500
linc02072,440446
ccl13,6357
ccl7,6354
ccl8,6355
ccl5,6352
p2ry8,286530
ccl4,6351
yipf6,286451
smim3,85027
fam86fp,653113
653110,653110
440449,440449
atp5md,84833
or6b1,135946
or2a14,135941
serf2,10169
znf197,10168
slc25a15,10166
slc25a13,10165
chst4,10164
or2f2,135948
lpcat3,10162
lpar6,10161
farp1,10160
or6y1,391112
or10r3p,391110
pak1,5058
cerna2,642934
or6k3,391114
serpine1,5054
serpinb2,5055
tigd1,200765
pafah2,5051
prdx1,5052
pah,5053
epha6,285220
dnajb8-as1,285224
390860,390860
pacrg-as1,285796
knop1,400506
bcar4,400500
400509,400509
crym-as1,400508
dgkq,1609
sgip1,84251
garnl3,84253
camkk1,84254
slc37a3,84255
flywch1,84256
dab2,1601
dcun1d5,84259
dad1,1603
dach1,1602
dag1,1605
cd55,1604
dgkb,1607
dgka,1606
tmed6,146456
smim1,388588
pom121l10p,646074
rfesd,317671
or6c76,390326
tgfb2-as1,728463
rhot2,89941
c1qtnf12,388581
glb1l2,89944
ctsa,5476
ppef1,5475
dhrsx,207063
ppbp,5473
dok7,285489
ppat,5471
linc02495,285484
ccdc171,203238
ppib,5479
zmiz2,83637
c19orf12,83636
taf13p1,246112
izumo1r,390243
kdm4e,390245
rbmy2vp,379010
ttty10,246119
rnf138p1,379013
tex101,83639
c11orf68,83638
mfsd4a-as1,284578
284570,284570
linc00303,284573
lemd1-as1,284576
lemd1-dt,284577
rps26p12,100271104
rnu6-15p,100302741
snora80b,100302743
slc15a5,729025
rpel1,729020
729021,729021
or2t6,254879
spata46,284680
rchy1,25898
linc01142,284688
uhrf1,29128
rpl4p6,100271033
ccdc106,29903
jam3,83700
trpt1,83707
fermt3,83706
snx15,29907
st8sia5,29906
gpr171,29909
rpl7ap22,100271039
rpl7ap21,100271038
slc25a16,8034
shoc2,8036
ncoa4,8031
ccdc6,8030
snord8,319103
adam12,8038
ppiap46,729739
znf367,195828
prxl2c,195827
sac3d1,29901
tmem221,100130519
ccdc163,126661
she,126669
tdrd10,126668
eef2k,29904
pheta2,150368
mei1,150365
tas2r46,259292
gjb4,127534
nbeal1,65065
tmem237,65062
tas2r50,259296
tas2r20,259295
tas2r19,259294
grik1-as2,100379661
rny5p6,100379663
rpl6p6,100270845
sh3rf3-as1,100287216
znf2,7549
specc1l,23384
zbtb14,7541
zfpl1,7542
zfx,7543
zfy,7544
zic1,7545
zic2,7546
zic3,7547
agr3,155465
c1orf21,81563
lman2l,81562
ndel1,81565
txndc5,81567
csrnp2,81566
actl8,81569
taar6,319100
c22orf42,150297
krt73,319101
plcxd2,257068
slc27a4,10999
ilvbl,10994
catsperd,257062
sds,10993
lilrb5,10990
slc38a3,10991
rab5b,5869
rab5a,5868
100132009,100132009
rab3b,5865
rab3a,5864
rab4a,5867
rab3il1,5866
rab1a,5861
qdpr,5860
rgl2,5863
rab2a,5862
sphk2,56848
tceal7,56849
dmac1,90871
znf697,90874
pnliprp3,119548
fcgr2b,2213
fcgr2a,2212
fcgr1b,2210
fcgrt,2217
fcgr3b,2215
fcgr3a,2214
fcn1,2219
fktn,2218
nmrk2,27231
serp1,27230
actrt2,140625
trim17,51127
cldn34,100288814
commd2,51122
ervk-6,64006
myo1g,64005
rps3ap29,730861
pcgem1,64002
skida1,387640
fam238c,387644
lrrc37a6p,387646
ptchd3p1,387647
nanogp11,414135
nanogp6,414134
c1orf52,148423
nanogp4,414132
nanogp2,414131
wasf2,10163
abcg2,9429
adirf-as1,100133190
hand1,9421
cyp7b1,9420
ntn1,9423
znf264,9422
cdyl,9425
kcnk6,9424
ecel1,9427
cdy2a,9426
klhl13,90293
dedd,9191
ttty8b,100101118
atg101,60673
lst1,7940
slc16a7,9194
slc33a1,9197
kcnab3,9196
eefsec,60678
fbrs,64319
noc3l,64318
ttty1b,100101116
ttty2b,100101117
ttty21b,100101115
100132910,100132910
dph3p1,100132911
shisal2b,100132916
rap1bp3,100132917
pdcd1lg2,80380
cd276,80381
tsr2,90121
tmem250,90120
linc02011,152274
cib2,10518
cib1,10519
dynll1p2,731308
fgd5,152273
sema3c,10512
appbp2,10513
fbln5,10516
fbxw10,10517
mybbp1a,10514
synj1,8867
per2,8864
prdx1p1,7002
apln,8862
per3,8863
ldb1,8861
npipa1,9284
taar2,9287
c1galt1c1l,728819
gpr37l1,9283
st3gal5,8869
tec,7006
rnu4-2,26834
rnu4-1,26835
rnu5d-1,26830
rnu5a-1,26831
rnu5b-1,26832
rnu4-6p,26838
trim13,10206
patj,10207
nutf2,10204
drgx,644168
dhrs2,10202
calcrl,10203
mphosph6,10200
nme6,10201
rps26p20,644166
uspl1,10208
eif1,10209
ccdc17,149483
tdh,157739
spata45,149643
255352,255352
fam71a,149647
bms1p14,728034
100128155,100128155
haus1,115106
ssr4p1,728039
psmd4p1,54035
54037,54037
54030,54030
rbm11,54033
pcbp3,54039
znf467,168544
znf768,79724
thap9,79725
ighv3-73,28409
lin28a,79727
vps37b,79720
ankrd55,79722
suv39h2,79723
gucy1b1,2983
gucy1a1,2982
guca2b,2981
guca2a,2980
palb2,79728
sh3d21,79729
ighv3-38-3,28404
awat2,158835
tas2r30,259293
cxorf65,158830
awat1,158833
ppia,5478
100129373,100129373
tas2r45,259291
rab40al,282808
poc1b,282809
tas2r31,259290
adm5,199800
fcsk,197258
mlkl,197259
rpl23ap50,728106
ldhd,197257
trim68,55128
ano10,55129
fancl,55120
akirin2,55122
bpifc,254240
piwil2,55124
cep192,55125
heatr1,55127
acss3,79611
naa16,79612
tango6,79613
79614,79614
asmt,438
get3,439
amdhd1,144193
asip,434
asl,435
asgr1,432
asgr2,433
slc2a14,144195
ccnyl1,151195
mettl21a,151194
capn13,92291
map1lc3c,440738
gpr37,2861
rpl35p1,440737
trim67,440730
rps7p3,440732
cacna2d4,93589
ptgr2,145482
fam161b,145483
100287081,100287081
h3f3bp1,100287087
linc01873,729348
gabarapl1,23710
trmt10a,93587
stx17,55014
prpf39,55015
march1,55016
c14orf119,55017
parpbp,55010
pih1d1,55011
ppp2r3c,55012
mcub,55013
fgf22,27006
tcl6,27004
usp21,27005
ankrd40cl,55018
cdy1b,253175
dnajc2,27000
ubtd2,92181
palm2-akap2,445815
galnt18,374378
hist1h2aa,221613
ofcc1,266553
100292884,100292884
lmbrd1,55788
depdc1b,55789
mctp2,55784
fgd6,55785
znf415,55786
txlng,55787
ermard,55780
riok2,55781
cmtr2,55783
poteb2,100287399
trbv21-1,28566
zbtb9,221504
oxsr1,9943
kcnq5,56479
exog,9941
cryzl1,9946
magec1,9947
gfpt2,9945
cpne7,27132
kcnh5,27133
wdr1,9948
ammecr1,9949
ccl28,56477
rprm,56475
ctps2,56474
rbak,57786
mark4,57787
gabrq,55879
cd24,100133941
pbk,55872
ash1l,55870
cbwd1,55871
gsdmb,55876
snorc,389084
msrb3,253827
c3orf85,401081
100132006,100132006
chchd2p9,645345
gtf2ip20,441124
tuba3gp,645348
nmral2p,344887
lsm14a,26065
rai14,26064
decr2,26063
hyal6p,26062
646927,646927
appl1,26060
linc00894,100272228
26069,26069
fbxo10,26267
mrps26,64949
pcdhgb7,56099
pcdhgc4,56098
fbxo22,26263
tspan17,26262
nt5dc2,64943
stag3l4,64940
sem1p1,153842
cenph,64946
fbxo9,26268
kat14,57325
pbxip1,57326
rab15,376267
kif5b,3799
kif5a,3798
khk,3795
kif3c,3797
kif2a,3796
kdr,3791
kcns3,3790
kel,3792
f7,2155
shroom1,134549
sowaha,134548
oprd1,4985
f2rl2,2151
oprl1,4987
oprk1,4986
c9orf57,138240
oprm1,4988
f9,2158
f10,2159
646853,646853
csrnp3,80034
ostcp1,202459
prr18,285800
c10orf143,387723
pacrgl,133015
387720,387720
krtap5-11,440051
krtap5-7,440050
hmga2-as1,100129940
100129947,100129947
100129946,100129946
100129948,100129948
or2t27,403239
aggf1p2,644435
440292,440292
hpn,3249
hpgd,3248
cspg4p8,440297
golga6l9,440295
tcf7l1,83439
hpd,3242
hpcal1,3241
hp,3240
fam174a,345757
slc9b2,133308
mir1244-2,100422885
gas2l1p2,340508
atg9b,285973
100131626,100131626
100131625,100131625
wasf1p1,100131624
fam106a,80039
morc2-as1,150291
dusp18,150290
calcb,797
calca,796
s100g,795
calb2,794
calb1,793
cad,790
calcr,799
kctd10,83892
lkaaear1,198437
linc00994,100287879
123855,123855
cog3,83548
krtap1-5,83895
100131910,100131910
dnal1,83544
rilp,83547
rtbdn,83546
fam110a,83541
100287877,100287877
aif1l,83543
tuba3e,112714
bsph1,100131137
fam86b1,85002
100131132,100131132
100131131,100131131
eif4e2p1,128770
clc,1178
spanxn5,494197
ccin,881
linc01405,100131138
85001,85001
prr22,163154
fndc10,643988
mrps11p1,128774
atp5mc3,518
rerg,85004
202181,202181
atp5f1d,513
atp5pb,515
atp5f1e,514
atp5mc2,517
atp5mc1,516
mroh2a,339766
339760,339760
cyp27c1,339761
colgalt2,23127
espnl,339768
slc6a9,6536
slc6a7,6534
slc6a8,6535
slc6a4,6532
slc6a6,6533
slc6a2,6530
slc6a3,6531
slc6a11,6538
slc6a12,6539
dnah1,25981
aar2,25980
c5orf58,133874
linc01164,399827
zbtb42,100128927
foxi2,399823
edrf1-dt,399821
otx2-as1,100309464
linc01168,399829
643167,643167
643162,643162
cymp,643160
fam25a,643161
linc02153,286114
taf11l3,646103
rgpd3,653489
rpl32p16,646104
afdn-dt,653483
100132004,100132004
scgb1c2,653486
100132005,100132005
100293306,100293306
100288941,100288941
kcnk18,338567
c15orf54,400360
neurod2,4761
neurod1,4760
nf1,4763
neurog1,4762
nf1p3,4764
abhd14b,84836
arhgap5-as1,84837
znf496,84838
rax2,84839
coa5,493753
mcc,4163
mcam,4162
mc5r,4161
mc4r,4160
100288496,100288496
arhgap27,201176
201175,201175
mcf2,4168
leutx,342900
znf404,342908
znf284,342909
ugt8,7368
resf1,55196
ccdc78,124093
400099,400099
krit1,889
poteg,404785
cpo,130749
snora19,641451
potem,641455
crip1p4,641457
rbms1p1,5938
100289610,100289610
ugt2b4,7363
100288238,100288238
ugt2b17,7367
slc66a2,80148
asb9,140462
asb8,140461
asb7,140460
znf358,140467
myl6b,140465
pisrt1,140464
ptges2,80142
sike1,80143
fras1,80144
thoc7,80145
uxs1,80146
402207,402207
ttc32,130502
cldnd2,125875
lrrc49,54839
ube2ql1,134111
hmgb1p5,10354
hmgb1p4,10355
hmgb1p3,10356
hmgb1p1,10357
abca9,10350
abca8,10351
wars2,10352
ubr3,130507
csnk1g2-as1,255193
seh1l,81929
cables2,81928
abhd17a,81926
rpl22p8,100270957
anp32a-it1,80035
rpl21p35,100270955
sema6d,80031
znf556,80032
dcdc2,51473
54523,54523
cd99p1,401577
krt8p17,392479
zim2,23619
rpl22p16,100270959
c2orf69,205327
ryk,6259
rxrg,6258
ecsit,51295
tctex1d1,200132
rtn2,6253
rtn1,6252
rsu1,6251
85009,85009
rxrb,6257
rxra,6256
ankrd36bp1,84832
isyna1,51477
nrk,203447
283658,283658
ccdc188,388849
tbc1d16,125058
hsd17b7,51478
rn7sk,125050
capzb,832
cars,833
capza2,830
cast,831
391092,391092
casp4,837
casp1,834
casp2,835
ugp2,7360
slco6a1,133482
casp5,838
casp6,839
ugt2b7,7364
ugt2b10,7365
ugt2b15,7366
tcaim,285343
fabp12,646486
646484,646484
646482,646482
wbp1l,54838
fabp9,646480
asah2b,653308
ppy2p,23614
653303,653303
ankrd16,54522
wdr44,54521
rpl21p70,646489
pi4kap1,728233
100130238,100130238
npm1p8,100130233
100130232,100130232
linc00861,100130231
maged4,728239
mfsd2b,388931
grip2,80852
kdm7a,80853
sh3bp5l,80851
lnpk,80856
setd7,80854
ccdc187,399693
391322,391322
nqo1,1728
diaph1,1729
phb,5245
abcb4,5244
vdac2p3,401959
dhps,1725
pgr,5241
dhodh,1723
dhfrp3,1720
gpkow,27238
pyhin1,149628
gimap8,155038
espnp,284729
znf550,162972
ms4a18,728588
znf296,162979
ccdc192,728586
nudt9p1,119369
spdye19p,100130307
glrx3p2,728344
linc00992,728342
supt20hl1,100130302
gtf2h2c,728340
sfta1p,207107
lrrn4,164312
cdr1,1038
akr1b10p1,340888
slc25a42,284439
pcare,388939
adtrp,84830
slc25a6p5,100129319
tmem43,79188
nwd1,284434
cdkn2b,1030
clec9a,283420
cdo1,1036
or10h5,284433
388159,388159
or10ag1,282770
golga2p7,388152
or5j2,282775
eif4a1p4,728698
cabp4,57010
728690,728690
100131540,100131540
100131541,100131541
spanxb1,728695
hsp90aa5p,730211
cyb561d2,11068
rpl5p5,730213
cnmd,11061
wwp2,11060
sox30,11063
dus4l,11062
ube2c,11065
cntrl,11064
depp1,11067
snrnp35,11066
irs2,8660
alkbh2,121642
eif3b,8662
eif3c,8663
eif3d,8664
eif3f,8665
eif3g,8666
foxn4,121643
eif3i,8668
cmpk2,129607
kcnrg,283518
tmem151a,256472
mfsd8,256471
rpl35ap10,100271313
rpl35ap17,100271319
rnf31,55072
ptgdr,5729
tmem45a,55076
derl2,51009
340268,340268
col28a1,340267
slc35c2,51006
amdhd2,51005
igsf22,283284
med31,51003
tprkb,51002
mterf3,51001
uncx,340260
znf236,7776
dhh,50846
znf230,7773
znf229,7772
znf112,7771
znf227,7770
f11r,50848
slc30a1,7779
slc44a3,126969
igkv2or22-4,28847
morc1,27136
znf773,374928
nrn1,51299
kmt2d,8085
aaas,8086
fxr1,8087
sspn,8082
389405,389405
729562,729562
gfral,389400
yeats4,8089
zbtb8osp1,729566
arhgef39,84904
153682,153682
pate3,100169851
or52k2,119774
frem1,158326
utp14a,10813
obscn-as1,574407
polr2m,81488
wasf3,10810
wasir2,100132169
spint3,10816
cplx1,10815
cplx2,10814
mepce,56257
sertad4,56256
100132167,100132167
frs2,10818
100132161,100132161
slc25a34,284723
phka2-as1,100132163
lyrm4,57128
mrpl47,57129
cd177,57126
rhbg,57127
cd248,57124
plxdc1,57125
nup107,57122
gopc,57120
lpar5,57121
ttl,150465
pikfyve,200576
ckap2l,150468
gabbr1,2550
gabpa,2551
linc02603,158257
gabpb1,2553
gabra1,2554
dcp2,167227
gabra3,2556
gabra4,2557
gabra5,2558
gabra6,2559
niban1,116496
znf630,57232
fra5d,2397
slc16a13,201232
snx14,57231
linc00869,57234
57235,57235
cycsp25,120528
il31,386653
fuz,80199
tmem189,387521
tmem189-ube2v1,387522
wdr92,116143
100133142,100133142
arhgap12,94134
100133145,100133145
rp1l1,94137
dyrk1a,1859
lyrm7,90624
ervh48-1,90625
jade1,79960
stard13,90627
dusp8,1850
dusp9,1852
dut,1854
dvl1,1855
wdr76,79968
100192379,100192379
fabp7,2173
cd247,919
wnt5b,81029
ogg1,4968
apba3,9546
cd2,914
cd3g,917
helq,113510
nrg2,9542
igdcc3,9543
tp53i3,9540
cd1d,912
tfb2m,64216
dnajc1,64215
mms19,64210
lhx5,64211
nfe4,58160
sema4a,64218
pja1,64219
osr2,116039
zscan5c,649137
dgat2l6,347516
rab41,347517
649133,649133
kctd20,222658
ceacam20,125931
bcl11a,53335
gas5,60674
btbd1,53339
prok2,60675
cbln2,147381
pappa2,60676
bpifa1,51297
celf6,60677
znf92,168374
igkv1or-3,644731
gmpr2,51292
wasf4p,644739
linc01119,100134259
vstm4,196740
paox,196743
728912,728912
ct45a2,728911
339010,339010
or13h1,347468
cdr2,1039
150166,150166
xkr3,150165
lrrc20,55222
tmub2,79089
znf426,79088
100129434,100129434
lbhd1,79081
ccdc86,79080
mlph,79083
ptar1,375743
slc25a23,79085
wdr77,79084
alg12,79087
smim7,79086
cdkn2d,1032
cdkn3,1033
cct8l2,150160
znf502,91392
644083,644083
cdkn2c,1031
apoop5,644649
ubtfl6,643615
643616,643616
rpsap8,643617
rasa4cp,401331
ccl14,6358
lypd2,137797
bcl7a,605
c12orf49,79794
znf408,79797
rap1gap2,23108
bak1p2,601
bak1p1,600
shisa7,729956
gsdmd,79792
100129503,100129503
144017,144017
mcf2l2,23101
100129500,100129500
mrps27,23107
tnfrsf17,608
fstl4,23105
senp2,59343
kcnip2,30819
kcnip3,30818
st6galnac6,30815
pla2g2e,30814
adgre2,30817
g6pc3,92579
hunk,30811
lrrc37a3,374819
vsx1,30813
or7e24,26648
hnrnplp2,644390
tmco5a,145942
spata8,145946
145945,145945
lrrc37a17p,644397
csn2,1447
csn1s1,1446
csk,1445
cshl1,1444
csh2,1443
csh1,1442
xpo7,23039
wdtc1,23038
pdzd2,23037
or5h2,79310
phlpp2,23035
samd4a,23034
dop1a,23033
usp33,23032
mast3,23031
csn3,1448
fam86c1,55199
appl2,55198
tmem130,222865
myoz3,91977
znf300,91975
79424,79424
nadsyn1,55191
rad23bp1,131185
pbrm1,55193
dnajc17,55192
ccdc198,55195
eva1b,55194
rprd1a,55197
or1i1,126370
disp1,84976
fyb2,199920
krtap20-4,100151643
ndufb4p12,402175
rpl21p44,402176
or10a5,144124
or2ag1,144125
draic,145837
oard1,221443
linc00311,197196
zmynd8,23613
ip6k1,9807
642361,642361
642366,642366
trbv3-1,28619
trim53ap,642569
aqp10,89872
usp17l21,100287478
nlrp13,126204
trbv5-3,28612
trbv5-4,28611
npm1p31,100287472
trbv5-1,28614
nudt4b,440672
440675,440675
100128477,100128477
mrrf,92399
fam171b,165215
galm,130589
hpn-as1,100128675
fam13b,51306
fam53c,51307
tada2b,93624
tbck,93627
mrfap1,93621
93622,93622
krt8,3856
krt9,3857
slc38a11,151258
krt7,3855
krt5,3852
krt6a,3853
krt3,3850
krt4,3851
100288728,100288728
c2cd6,151254
tex50,730159
mkrn6p,23610
slc7a15p,100289450
hmgn2p31,645930
sycp2l,221711
smim13,221710
inpp5e,56623
linc00518,221718
asah2,56624
or8b8,26493
tssk2,23617
vps28,51160
c3orf18,51161
egfl7,51162
bhlhe23,128408
dctn4,51164
aadat,51166
cyb5r4,51167
myo15a,51168
100287290,100287290
lrrc1,55227
nat10,55226
gng13,51764
etnk2,55224
65978,65978
phactr4,65979
syt17,51760
klhdc8a,55220
stk33,65975
plekha3,65977
sh3bp1,23616
tm7sf3,51768
pnma8a,55228
aif1,199
barhl1,56751
ahsg,197
ahr,196
ahcy,191
nr0b1,190
pyy2,23615
mtrr,4552
mt-ta,4553
mt-rnr2,4550
ythdf3,253943
eif3a,8661
mafa,389692
mocs3,27304
hpgds,27306
100289290,100289290
znf544,27300
rbms3,27303
psmg4,389362
rpl21p2,140715
tldc2,140711
100289299,100289299
pcdh10,57575
march4,57574
ccdc191,57577
kif17,57576
carns1,57571
trmt5,57570
znf471,57573
dock6,57572
or4k13,390433
or4q2,390432
or4k2,390431
eif3h,8667
fam135a,57579
unc79,57578
paqr9,344838
441204,441204
rbfox3,146713
b3gntl1,146712
eif3j,8669
adgrg1,9289
znrf2p1,441208
pirc114,100313881
mir2277,100313887
c11orf54,28970
apool,139322
hdx,139324
odf2,4957
snora21,619505
tmem225b,100289187
or6c70,390327
larp4,113251
or6c75,390323
or6c1,390321
med14,9282
upk1b,7348
ucn,7349
ifna21,3452
fut10,84750
ifna17,3451
ifnb1,3456
84757,84757
ifnar2,3455
pcgf1,84759
ifng,3458
ifngr1,3459
450095,450095
pomk,84197
usp48,84196
rpsap52,204010
setd3,84193
ciao2a,84191
mettl25,84190
ttll3,26140
usp29,57663
tmbim6,7009
tef,7008
prdx2,7001
mapt-it1,100130148
tead1,7003
prr5-arhgap8,553158
tead3,7005
tead4,7004
tecta,7007
irf2bp1,26145
linc00898,400932
mirlet7bhg,400931
400934,400934
il17rel,400935
phf19,26147
linc00271,100131814
26148,26148
ube2dnl,100131816
adh5p3,100131810
100131819,100131819
mrpl49,740
znhit2,741
mpped2,744
myrf,745
tmem258,746
dagla,747
171391,171391
znf675,171392
100130497,100130497
399783,399783
rpl26p29,100131788
100131785,100131785
100131781,100131781
cebpa,1050
plrg1,5356
cebpd,1052
